,dataset,lr,epoch,hidden,dropout,weight_decay,alpha,beta,gamma,delta,norm_layers,orders,high_train,high_valid,final_train,final_test
0,arxiv-year,0.01,500,32,0.6,1e-07,0.0,1.0,0.0,0.0,2,1,73.71,40.22,73.51,40.51
1,arxiv-year,0.01,500,32,0.6,0.001,0.0,1.0,0.0,0.0,2,1,88.93,47.48,88.89,47.77
2,arxiv-year,0.01,500,32,0.4,0.0,0.0,1.0,0.0,0.0,2,1,81.33,48.65,80.60,49.00
3,arxiv-year,0.01,500,64,0.0,0.0,0.0,1.0,0.0,0.0,2,1,91.56,49.38,91.50,49.66
4,arxiv-year,0.01,500,32,0.4,0.001,0.0,1.0,0.0,0.0,2,1,90.33,49.81,89.69,49.83
5,arxiv-year,0.01,500,128,0.0,0.001,0.0,1.0,0.0,0.0,2,1,91.56,50.16,90.86,50.17
6,arxiv-year,0.01,500,32,0.6,0.0,0.0,1.0,0.0,0.0,2,1,81.51,50.30,74.61,50.30
7,arxiv-year,0.01,500,32,0.0,0.0,0.0,1.0,0.0,0.0,2,1,91.56,49.94,91.31,50.44
8,arxiv-year,0.01,500,32,0.0,1e-05,0.0,1.0,0.0,0.0,2,1,91.54,50.15,91.32,50.51
9,arxiv-year,0.01,500,32,0.0,1e-07,0.0,1.0,0.0,0.0,2,1,91.56,50.22,91.25,50.55
10,arxiv-year,0.01,500,64,0.0,1e-07,0.0,1.0,0.0,0.0,2,1,91.56,50.50,91.48,50.58
11,arxiv-year,0.01,500,64,0.6,0.0,0.0,1.0,0.0,0.0,2,1,80.90,50.56,78.88,50.71
12,arxiv-year,0.01,500,64,0.0,0.001,0.0,1.0,0.0,0.0,2,1,91.56,50.48,91.50,50.77
13,arxiv-year,0.01,500,32,0.6,1e-05,0.0,1.0,0.0,0.0,2,1,90.25,50.60,90.14,50.84
14,arxiv-year,0.01,500,32,0.4,1e-05,0.0,1.0,0.0,0.0,2,1,90.99,51.13,90.93,51.04
15,arxiv-year,0.01,500,128,0.0,1e-05,0.0,1.0,0.0,0.0,2,1,91.56,50.35,91.56,51.16
16,arxiv-year,0.01,500,32,0.0,0.001,0.0,1.0,0.0,0.0,2,1,91.56,51.24,86.85,51.22
17,arxiv-year,0.01,500,64,0.0,1e-05,0.0,1.0,0.0,0.0,2,1,91.56,51.17,90.26,51.31
18,arxiv-year,0.01,500,32,0.2,0.001,0.0,1.0,0.0,0.0,2,1,91.50,51.31,91.48,51.49
19,arxiv-year,0.01,500,32,0.2,1e-07,0.0,1.0,0.0,0.0,2,1,91.41,51.46,91.36,51.51
